UniprotID	ProteinName	GeneName	Rank	LogProb	Intensity	NumofSpectra	NumofUniquePep	Coverage	kD
 A2RTL5 	 arginine/serine-rich coiled-coil protein 2 	 Rsrc2 	3926	3.53	19668.1	1	1	1.61	434
 Q8BG60 	 thioredoxin-interacting protein isoform 1 	 Txnip 	2942	8.84	22119.6	1	1	3.78	397
 Q3TXT3 	 SOSS complex subunit C 	 Inip 	3525	5.64	4211.6	1	1	8.65	104
 Q5U3K5 	 rab-like protein 6 	 Rabl6 	2440	12.62	29022.7	1	1	2.34	725
 Q6NXN1 	 SUZ domain-containing protein 1 isoform 1 	 Szrd1 	3541	5.56	26244.9	1	1	7.89	152
 Q3V4B5 	 COMM domain-containing protein 6 isoform 1 	 Commd6 	2739	10.33	27604.7	1	1	14.94	87
 Q9CZW4 	 long-chain-fatty-acid--CoA ligase 3 isoform a 	 Acsl3 	3633	5.14	7529.3	1	1	2.92	720
 Q2EMV9 	 poly 	 Parp14 	3832	4.11	16662.9	1	1	0.83	1817
 Q9CPW2 	" adrenodoxin-like protein, mitochondrial precursor "	 Fdx1l 	3405	6.25	15573.3	1	1	6.32	174
 O08715 	" A-kinase anchor protein 1, mitochondrial "	 Akap1 	2667	10.89	20236.0	1	1	1.75	857
 Q8BN78 	 transcriptional regulator Kaiso 	 Zbtb33 	3781	4.40	12678.2	1	1	3.13	671
 Q9D2H6 	 transcription factor Sp2 isoform 2 	 Sp2 	3149	7.46	17134.3	1	1	2.61	612
 D3Z0K6 	 round spermatid basic protein 1-like protein 	 Rsbn1l 	3648	5.06	9926.6	1	1	2.19	821
 Q8BVE8 	 histone-lysine N-methyltransferase NSD2 isoform 1 	 Whsc1 	3936	3.48	14794.9	1	1	0.73	1366
 B2RXR6 	 serine/threonine-protein phosphatase 6 regulatory ankyrin repeat 	 Ankrd44 	3958	3.32	12202.4	1	1	1.61	993
 A3KGB4 	 TBC1 domain family member 8B 	 Tbc1d8b 	2956	8.78	19978.0	1	1	1.62	1114
 Q811S7 	 upstream-binding protein 1 isoform a 	 Ubp1 	3488	5.82	15069.7	1	1	2.22	540
 Q8BK30 	 NADH dehydrogenase 	 Ndufv3 	2855	9.36	15625.5	1	1	16.35	104
 P0C0A3 	 charged multivesicular body protein 6 	 Chmp6 	3449	6.04	44836.6	1	1	6.50	200
 O35682 	 myeloid-associated differentiation marker 	 Myadm 	4075	2.03	3618.0	1	1	5.31	320
 Q5XG73 	 acyl-CoA-binding domain-containing protein 5 isoform a precursor 	 Acbd5 	3472	5.91	9084.0	1	1	3.54	509
 P97808 	 FXYD domain-containing ion transport regulator 5 isoform a 	 Fxyd5 	3897	3.72	7054.7	1	1	10.67	178
 Q9D103 	 interferon-induced transmembrane protein 1 	 Ifitm1 	3140	7.53	15846.2	1	1	15.09	106
 P61804 	 dolichyl-diphosphooligosaccharide--protein glycosyltransferase 	 Dad1 	3435	6.10	25471.1	1	1	10.62	113
 Q61214 	 dual specificity tyrosine-phosphorylation-regulated kinase 1A 	 Dyrk1a 	3951	3.35	19276.5	1	1	1.70	763
 Q3UA37 	 glutamine-rich protein 1 	 Qrich1 	3731	4.70	11925.2	1	1	1.03	777
 Q91W67 	 ubiquitin-like protein 7 	 Ubl7 	3685	4.91	23096.5	1	1	2.63	380
 Q9JL60 	 glucocorticoid modulatory element-binding protein 1 	 Gmeb1 	3379	6.38	6056.9	1	1	1.60	562
 Q80VP5 	 probable peptide chain release factor C12orf65 homolog 	 2810006K23Rik 	4161	1.60	92461.6	1	1	7.61	184
 P21550 	 beta-enolase 	 Eno3 	3687	4.91	25961.1	1	1	3.00	434
